"1 Cluain na Ri, Ballycullane, New Ross"	Wexford	"193,833"	192044	02/01/2018
"1 ROSEVILLE, LOWER ROAD, SHANKILL"	Dublin	"627,231"	655235.7	02/01/2018
"11 Castlelynn, Soldiers Road, Bray"	Wicklow	"545,000"	541762	02/01/2018
"12 HEYWOOD DR, ARD GAOITHE, CLONMEL"	Tipperary	"150,000"	145345	02/01/2018
"18 CARRIAG FERN, BUNCRANA, CO DONEGAL"	Donegal	"270,000"	267136	02/01/2018
"18 HILLSIDE VIEW, KILLARGUE, CO. LEITRIM"	Leitrim	"29,600"	29229	02/01/2018
"19 ULVERTON RD, DALKEY, DUBLIN"	Dublin	"1,130,000"	1138244	02/01/2018
"2 CHAPELTOWN, BALLYHEA, CO KERRY"	Kerry	"140,000"	136094	02/01/2018
"2 HAWTHORN BANK, ROYAL CANAL, MULLINGAR"	Westmeath	"160,000"	157931	02/01/2018
"236 PHIBSBORO RD, DUBLIN 7, DUBLIN"	Dublin	"277,000"	266074	02/01/2018
"239 BLARNEY ST, CORK, CORK"	Cork	"115,000"	116415	02/01/2018
"29 CROSS ST, NEW ROSS, WEXFORD"	Wexford	"50,000"	48816	02/01/2018
"3 CCOLROE COURT, BALLINCOLLIG"	Cork	"361,233"	352168	02/01/2018
"3 COLLEGE COURT, PORTRANE ROAD, DONABATE"	Dublin	"348,018"	336013.62	02/01/2018
"34 SLANE RD, CRUMLIN, DUBLIN 12"	Dublin	"325,000"	330499	02/01/2018
"34 THE FAIRWAYS, ABBEYLEIX, LAOIS"	Laois	"168,000"	161037	02/01/2018
"38 THE CRESCENT, CASTLE ROCK, BANESHANE"	Cork	"365,000"	351847	02/01/2018
"3B CLONMORE GROVE, TRALEE, CO KERRY"	Kerry	"87,000"	88072	02/01/2018
"4 LIOS NA GREINE, SOUTH DOUGLAS RD, CORK"	Cork	"230,000"	227462	02/01/2018
"43 YEATS VILLAGE, SLIGO, CO SLIGO"	Sligo	"82,000"	79854	02/01/2018
"48 BASTION QUAY, THE DOCKS, ATHLONE"	Westmeath	"195,000"	192577	02/01/2018
"5 BLUEBELL WAY, PORTLAOISE, LAOIS"	Laois	"160,000"	162186	02/01/2018
"50 TUSKAR COURTYARD, ARKLOW MARINA VILLAGE, WICKLOW"	Wicklow	"175,000"	172430	02/01/2018
"51A ST PATRICKS CRESCENT, MONKSTOWN, DUBLIN"	Dublin	"545,000"	557626	02/01/2018
"62 ABBERLEY APTS, ABBERLEY SQ, HIGH ST DUBLIN 24"	Dublin	"180,000"	184866	02/01/2018
"8 LEITIR ARD, LETTERKENNY, DONEGAL"	Donegal	"43,375"	41637	02/01/2018
"84 ST JOHNS PARK, TRALEE, CO KERRY"	Kerry	"118,000"	120919	02/01/2018
"89 CROMWELLSFORT RD, WALKINSTOWN, DUBLIN 12"	Dublin	"350,000"	338588	02/01/2018
"93 DANGAN HEIGHTS, NEWCASTLE, GALWAY"	Galway	"241,364"	233470.52	02/01/2018
"APT 67 SEAPARK, MOUNT PROSPECT AVE, CLONTARF DUBLIN 3"	Dublin	"230,000"	237301	02/01/2018
"Apt 70, Eustace Court, Coolinor"	Dublin	"400,882"	416389	02/01/2018
"CHESTNUT LODGE, BLOOMFIELD MULLINGAR, WESTMEATH"	Westmeath	"507,500"	504153	02/01/2018
"CLOGHAN CASTLE, LUSMAGH, BANAGHER"	Offaly	"960,000"	1005576	02/01/2018
"COR NA RON WEST, INVERIN, CO GALWAY"	Galway	"155,000"	147382	02/01/2018
"CUTTEEN, KILROSSANTY, CO. WATERFORD"	Waterford	"85,000"	88492	02/01/2018
"FENAGH, BALLINAMORE P.O., CO LEITRIM"	Leitrim	"112,500"	111655	02/01/2018
"KNOCKNAGEEHA, GNEEVEGUILLA, RATHMORE"	Kerry	"47,500"	49024	02/01/2018
"NO 6 THE COURTYARD, FOTA ISLAND, CARRIGETWOHILL"	Cork	"228,000"	221233	02/01/2018
"SHEESTOWN, BENNETTSBRIDGE ROAD, KILKENNY"	Kilkenny	"100,000"	96385	02/01/2018
"ST PAULS LODGE, HERBERT RD, BRAY"	Wicklow	"880,000"	836690	02/01/2018
"THE OLD REFECTORY, ARDMAYLE, CASHEL"	Tipperary	"330,000"	344849	02/01/2018
"1 Ballygossan Park, Golf Links Road, Skerries"	Dublin	"348,017"	350913	03/01/2018
"10 PUNCHESTOWN GATE, DUBLIN RD, NAAS"	Kildare	"176,000"	167722	03/01/2018
"10 SHANTALLA PARK, BEAUMONT, DUBLIN 9"	Dublin	"360,000"	361096	03/01/2018
"103 Millers Court, Old Quarter, Ballincollig"	Cork	"480,000"	472822	03/01/2018
"11 A CHURCH STREET, TULLAMORE, CO OFFALY"	Offaly	"40,000"	40311	03/01/2018
"11 L CHURCH STREET, TULLAMRE, COUNTY OFFALY"	Offaly	"68,000"	69068	03/01/2018
"14 Castleway, Kinsealy Lane, Malahide"	Dublin	"729,000"	708016	03/01/2018
"14 CLAREMONT COURT, ST ALPHONSUS ST, LIMERICK"	Limerick	"80,000"	79454	03/01/2018
"147 KILDARE RD, CRUMLIN, DUBLIN 12"	Dublin	"372,000"	372550	03/01/2018
"16 AMBERFIELD, VERDEMONT, BLANCHARDSTOWN"	Dublin	"203,000"	199071	03/01/2018
"16 CLEARSTREAM COURT, MCKEE AVENUE, FINGLAS"	Dublin	"200,000"	193132	03/01/2018
"16 HILLCREST MANOR, NEWPORT, CO TIPPERARY"	Tipperary	"291,000"	279390	03/01/2018
"17 HOPHILL VALE, TULLAMORE, OFFALY"	Offaly	"150,000"	144915	03/01/2018
"17 WOODSTOWN LANE, KNOCKLYON, DUBLIN 16"	Dublin	"456,000"	476667	03/01/2018
"2 CLAREVIEW, UPPER QUAY, WESTPORT"	Mayo	"245,000"	233393	03/01/2018
"2 COXES LANE, DUNGARUAN, WATERFORD"	Waterford	"80,000"	80373	03/01/2018
"20  Greenbank House, Cualanor, Upper Glenageary Road"	Dublin	"273,488"	281221	03/01/2018
"22 PARK COURT, BALLYVOLANE, CO. CORK"	Cork	"179,700"	179789	03/01/2018
"23 Kilheale Drive, Kilheale Manor, Kill"	Kildare	"277,533"	264993	03/01/2018
"23 Willow Close, Dunshaughlin"	Meath	"303,965"	301124.75	03/01/2018
"25 CASTLEKNOCK DOWNS, DUBLIN 15, DUBLIN"	Dublin	"342,000"	345074	03/01/2018
"26 CLUAN DARA COURT, CLONMACKEN, ENNIS ROAD"	Limerick	"181,000"	183114	03/01/2018
"28 LYMEWOODS MEWS, NORTHWOOD, SANTRY"	Dublin	"269,000"	262469	03/01/2018
"3 KILFINANE RD, BALLYLANDERS, LIMERICK"	Limerick	"165,000"	160026	03/01/2018
"32 Hamilton Avenue, Mount Avenue, Carrick Road"	Louth	"203,250"	206503	03/01/2018
"35 WOODLANDS PARK, COILL DUBH, ROBERTSTOWN"	Kildare	"220,000"	226452	03/01/2018
"36 LISSADEL DRIVE, DRIMAGH, DUBLIN 12"	Dublin	"225,000"	218023	03/01/2018
"40 HERBERT PARK, BALLSBRIDGE, DUBLIN 4"	Dublin	"2,725,000"	2682218	03/01/2018
"40 MAYLOR ST, CORK, CORK"	Cork	"100,000"	101764	03/01/2018
"5 GLENANAAR PLACE, COBH, CORK"	Cork	"153,500"	146107	03/01/2018
